idx,x,y,z,vx,vy,vz,pressure
0,-12.566370614359172,-1.0,-4.71238898038469,0.0,0.0,-2.954371e-19,-0.00032142972
1,-12.566370614359172,-1.0,-3.6651914291880923,0.0,0.0,-2.7308613e-19,0.0019266815
2,-12.566370614359172,-1.0,-2.6179938779914944,0.0,0.0,1.4300549e-19,0.003012554
3,-12.566370614359172,-1.0,-1.5707963267948966,0.0,0.0,8.0129593e-20,-0.008900204
4,-12.566370614359172,-1.0,-0.5235987755982991,0.0,0.0,1.4908646e-19,0.00175832
5,-12.566370614359172,-1.0,0.5235987755982983,0.0,0.0,1.7433881e-19,0.0026478611
6,-12.566370614359172,-1.0,1.5707963267948966,0.0,0.0,-3.2088814e-20,0.0005644088
7,-12.566370614359172,-1.0,2.617993877991494,0.0,0.0,1.03667244e-19,0.0024186112
8,-12.566370614359172,-1.0,3.6651914291880914,0.0,0.0,-1.1326446e-19,0.0032928125
9,-12.566370614359172,-1.0,4.71238898038469,0.0,0.0,-2.9543712e-19,-0.00032143
10,-12.566370614359172,-0.33333333333333337,-4.71238898038469,0.9428772,-0.025252195,-0.050335962,-0.0029906519
11,-12.566370614359172,-0.33333333333333337,-3.6651914291880923,1.1072092,-0.030154992,-0.025937209,0.0016119978
12,-12.566370614359172,-0.33333333333333337,-2.6179938779914944,1.181903,-0.016062751,0.014635688,0.0025878418
13,-12.566370614359172,-0.33333333333333337,-1.5707963267948966,1.0890105,-0.044812262,-0.033669278,-0.0003325904
14,-12.566370614359172,-0.33333333333333337,-0.5235987755982991,1.0734177,0.038224425,0.040148355,-0.0023448516
15,-12.566370614359172,-0.33333333333333337,0.5235987755982983,1.1502017,-0.09559102,0.024418429,-0.0015855738
16,-12.566370614359172,-0.33333333333333337,1.5707963267948966,1.0214107,0.005491578,0.09686724,-0.003218002
17,-12.566370614359172,-0.33333333333333337,2.617993877991494,1.112979,-0.05050531,0.09174241,-0.006107323
18,-12.566370614359172,-0.33333333333333337,3.6651914291880914,1.0551333,0.053940453,0.0800695,0.0020687925
19,-12.566370614359172,-0.33333333333333337,4.71238898038469,0.9428772,-0.025252176,-0.050335962,-0.0029906528
20,-12.566370614359172,0.33333333333333326,-4.71238898038469,1.1316423,-0.006064532,-0.025710097,0.004171389
21,-12.566370614359172,0.33333333333333326,-3.6651914291880923,1.1442336,0.057380993,0.02552335,-0.0062180585
22,-12.566370614359172,0.33333333333333326,-2.6179938779914944,1.1370093,-0.023126032,0.020059392,0.001008693
23,-12.566370614359172,0.33333333333333326,-1.5707963267948966,1.0921414,0.027020758,0.011960338,0.0007076818
24,-12.566370614359172,0.33333333333333326,-0.5235987755982991,1.0169771,-0.05454962,0.005154093,0.00454742
25,-12.566370614359172,0.33333333333333326,0.5235987755982983,1.1163988,0.031918466,-0.0017233671,0.0008702399
26,-12.566370614359172,0.33333333333333326,1.5707963267948966,1.0665829,0.041606788,0.023673506,-0.0021627673
27,-12.566370614359172,0.33333333333333326,2.617993877991494,1.0710163,-0.0019514186,-0.04250559,-0.0018715477
28,-12.566370614359172,0.33333333333333326,3.6651914291880914,1.0386051,-0.024977608,0.048812285,-0.0037326403
29,-12.566370614359172,0.33333333333333326,4.71238898038469,1.1316423,-0.0060645235,-0.025710093,0.0041713896
30,-12.566370614359172,1.0,-4.71238898038469,0.0,0.0,1.5010697e-19,0.0018592902
31,-12.566370614359172,1.0,-3.6651914291880923,0.0,0.0,-3.5715684e-21,-0.0016800959
32,-12.566370614359172,1.0,-2.6179938779914944,0.0,0.0,1.2517966e-19,-0.005192873
33,-12.566370614359172,1.0,-1.5707963267948966,0.0,0.0,2.354054e-19,0.0058630747
34,-12.566370614359172,1.0,-0.5235987755982991,0.0,0.0,3.6581277e-19,0.0045828563
35,-12.566370614359172,1.0,0.5235987755982983,0.0,0.0,-6.455373e-20,0.0060869195
36,-12.566370614359172,1.0,1.5707963267948966,0.0,0.0,-1.1109174e-20,-0.0040991483
37,-12.566370614359172,1.0,2.617993877991494,0.0,0.0,-1.8694136e-19,0.0062795444
38,-12.566370614359172,1.0,3.6651914291880914,0.0,0.0,1.5720591e-19,0.004940058
39,-12.566370614359172,1.0,4.71238898038469,0.0,0.0,1.5010712e-19,0.0018592902
40,-11.243594760216101,-1.0,-4.71238898038469,0.0,0.0,-9.509639e-20,-0.001885657
41,-11.243594760216101,-1.0,-3.6651914291880923,0.0,0.0,1.6167555e-19,-0.0028193737
42,-11.243594760216101,-1.0,-2.6179938779914944,0.0,0.0,1.6295746e-19,0.0018143596
43,-11.243594760216101,-1.0,-1.5707963267948966,0.0,0.0,1.5671327e-19,0.0008192294
44,-11.243594760216101,-1.0,-0.5235987755982991,0.0,0.0,8.070413e-20,0.005176003
45,-11.243594760216101,-1.0,0.5235987755982983,0.0,0.0,2.6637082e-20,-0.008573199
46,-11.243594760216101,-1.0,1.5707963267948966,0.0,0.0,-9.7331654e-20,-0.00024862317
47,-11.243594760216101,-1.0,2.617993877991494,0.0,0.0,2.0425358e-19,0.00504212
48,-11.243594760216101,-1.0,3.6651914291880914,0.0,0.0,1.5825718e-19,0.017095886
49,-11.243594760216101,-1.0,4.71238898038469,0.0,0.0,-9.509702e-20,-0.0018856613
50,-11.243594760216101,-0.33333333333333337,-4.71238898038469,1.0939246,0.0014049467,0.062031545,-0.0021894968
51,-11.243594760216101,-0.33333333333333337,-3.6651914291880923,1.1214492,0.0033631665,0.009836859,-0.0011097635
52,-11.243594760216101,-0.33333333333333337,-2.6179938779914944,1.0036564,0.016618041,0.014669534,-0.0026194372
53,-11.243594760216101,-0.33333333333333337,-1.5707963267948966,1.0614613,0.038124222,-0.03670729,0.0005506307
54,-11.243594760216101,-0.33333333333333337,-0.5235987755982991,1.1134691,-0.006268097,-0.10902598,-0.0014505251
55,-11.243594760216101,-0.33333333333333337,0.5235987755982983,1.1796824,-0.07507722,0.014463725,-0.0004108965
56,-11.243594760216101,-0.33333333333333337,1.5707963267948966,0.99377096,-0.016253997,0.05781332,-0.0034668024
57,-11.243594760216101,-0.33333333333333337,2.617993877991494,1.0824405,-0.019951414,-0.046235025,0.0033702266
58,-11.243594760216101,-0.33333333333333337,3.6651914291880914,1.1587121,0.015080024,-0.06346201,-0.002883884
59,-11.243594760216101,-0.33333333333333337,4.71238898038469,1.0939246,0.0014049707,0.062031556,-0.0021894968
60,-11.243594760216101,0.33333333333333326,-4.71238898038469,1.0405936,-0.106870815,-0.05858346,-0.001174329
61,-11.243594760216101,0.33333333333333326,-3.6651914291880923,1.0877079,0.02585868,-0.0139639815,-0.0075255684
62,-11.243594760216101,0.33333333333333326,-2.6179938779914944,1.1851982,0.039968986,-0.018577589,0.00097062957
63,-11.243594760216101,0.33333333333333326,-1.5707963267948966,1.1477755,-0.040487934,-0.007907125,0.0041935504
64,-11.243594760216101,0.33333333333333326,-0.5235987755982991,0.9662524,-0.0010153092,0.030839412,-0.003541776
65,-11.243594760216101,0.33333333333333326,0.5235987755982983,1.0709362,-0.01831645,-0.0740354,-0.00037594308
66,-11.243594760216101,0.33333333333333326,1.5707963267948966,1.1135019,0.0040879333,-0.031892795,0.0023211297
67,-11.243594760216101,0.33333333333333326,2.617993877991494,1.0220883,0.03543073,-0.046309873,-0.0020811723
68,-11.243594760216101,0.33333333333333326,3.6651914291880914,1.12554,-0.0057238284,-0.019504836,-0.0011817755
69,-11.243594760216101,0.33333333333333326,4.71238898038469,1.0405936,-0.10687083,-0.058583442,-0.0011743291
70,-11.243594760216101,1.0,-4.71238898038469,0.0,0.0,4.7638317e-20,0.0007489278
71,-11.243594760216101,1.0,-3.6651914291880923,0.0,0.0,1.0369894e-19,0.00026355337
72,-11.243594760216101,1.0,-2.6179938779914944,0.0,0.0,2.2942426e-19,0.004119197
73,-11.243594760216101,1.0,-1.5707963267948966,0.0,0.0,2.0395881e-20,0.003230051
74,-11.243594760216101,1.0,-0.5235987755982991,0.0,0.0,8.394209e-20,0.008871774
75,-11.243594760216101,1.0,0.5235987755982983,0.0,0.0,1.445203e-19,-0.005682182
76,-11.243594760216101,1.0,1.5707963267948966,0.0,0.0,3.7131407e-20,-0.0033676405
77,-11.243594760216101,1.0,2.617993877991494,0.0,0.0,6.626403e-24,0.009228718
78,-11.243594760216101,1.0,3.6651914291880914,0.0,0.0,-2.0248927e-20,0.003986624
79,-11.243594760216101,1.0,4.71238898038469,0.0,0.0,4.7638407e-20,0.0007489277
80,-9.92081890607303,-1.0,-4.71238898038469,0.0,0.0,-6.241516e-20,-0.020924699
81,-9.92081890607303,-1.0,-3.6651914291880923,0.0,0.0,1.6871405e-20,0.009767787
82,-9.92081890607303,-1.0,-2.6179938779914944,0.0,0.0,-1.6977935e-19,-0.005137574
83,-9.92081890607303,-1.0,-1.5707963267948966,0.0,0.0,1.4570395e-19,-0.0052468237
84,-9.92081890607303,-1.0,-0.5235987755982991,0.0,0.0,1.8242464e-19,-0.0023242813
85,-9.92081890607303,-1.0,0.5235987755982983,0.0,0.0,-2.9712325e-19,0.0017986698
86,-9.92081890607303,-1.0,1.5707963267948966,0.0,0.0,-2.4887205e-19,0.0003880478
87,-9.92081890607303,-1.0,2.617993877991494,0.0,0.0,-2.463279e-19,-0.0010381502
88,-9.92081890607303,-1.0,3.6651914291880914,0.0,0.0,5.0766685e-20,-0.0028555936
89,-9.92081890607303,-1.0,4.71238898038469,0.0,0.0,-6.241534e-20,-0.02092468
90,-9.92081890607303,-0.33333333333333337,-4.71238898038469,1.0898625,-0.046638876,0.053388067,0.0009505495
91,-9.92081890607303,-0.33333333333333337,-3.6651914291880923,1.1461755,-0.026291296,0.0120164845,0.002937233
